file,gender,race
constructionworkers_0.jpg,Woman,white
constructionworkers_1.jpg,Man,white
constructionworkers_2.jpg,Man,white
doctors_femalegroup1_0.jpg,Woman,white
doctors_femalegroup1_1.jpg,Woman,white
doctors_femalegroup1_2.jpg,Woman,latino hispanic
doctors_malegroup1_0.jpg,Man,white
doctors_malegroup1_1.jpg,Man,white
doctors_malegroup1_2.jpg,Man,white
doctors_0.jpg,Man,white
doctors_1.jpg,Woman,asian
doctors_2.jpg,Woman,white
doctors_3.jpg,Man,white
doctors_4.jpg,Woman,black
doctors_5.jpg,Woman,white
doctors_6.jpg,Man,black
firefighters_0.jpg,Man,white
firefighters_1.jpg,Man,white
firefighters_2.jpg,Man,white
grouptest1_0.jpg,Woman,asian
grouptest1_1.jpg,Man,black
grouptest1_2.jpg,Woman,white
grouptest1_3.jpg,Man,white
grouptest1_4.jpg,Woman,latino hispanic
grouptest1_5.jpg,Man,latino hispanic
grouptest1_6.jpg,Woman,black
grouptest2_0.jpg,Man,white
grouptest2_1.jpg,Man,white
grouptest2_2.jpg,Woman,black
grouptest2_3.jpg,Woman,white
grouptest2_4.jpg,Man,middle eastern
grouptest2_5.jpg,Woman,white
grouptest2_6.jpg,Man,middle eastern
grouptest3_0.jpg,Woman,white
grouptest3_1.jpg,Man,middle eastern
grouptest3_2.jpg,Woman,white
grouptest3_3.jpg,Man,white
grouptest3_4.jpg,Man,white
grouptest3_5.jpg,Woman,black
grouptest3_6.jpg,Woman,latino hispanic
grouptest3_7.jpg,Man,black
teachers_femalegroup1_0.jpg,Woman,white
teachers_femalegroup1_1.jpg,Woman,latino hispanic
teachers_femalegroup1_2.jpg,Woman,asian
teachers_femalegroup1_3.jpg,Woman,white
teachers1_0.jpg,Woman,indian
teachers1_1.jpg,Woman,white
teachers1_2.jpg,Man,black
teachers2_0.jpg,Man,white
teachers2_1.jpg,Woman,white
teachers2_2.jpg,Woman,white
