0.6455176191345627 0.6085448238086544
val/10001.jpg, ['GT: Woman, Predicted: Man']
val/10011.jpg, ['GT: Woman, Predicted: Man']
val/10012.jpg, ['GT: Woman, Predicted: Man']
val/10014.jpg, ['GT: Woman, Predicted: Man']
val/10015.jpg, ['GT: Woman, Predicted: Man']
val/10017.jpg, ['GT: Woman, Predicted: Man']
val/10018.jpg, ['GT: Woman, Predicted: Man']
val/10019.jpg, ['GT: Woman, Predicted: Man']
val/1002.jpg, ['GT: Woman, Predicted: Man']
val/10020.jpg, ['GT: Woman, Predicted: Man']
val/10021.jpg, ['GT: Woman, Predicted: Man']
val/10027.jpg, ['GT: Woman, Predicted: Man']
val/10028.jpg, ['GT: Woman, Predicted: Man']
val/1003.jpg, ['GT: Woman, Predicted: Man']
val/10030.jpg, ['GT: Woman, Predicted: Man']
val/10032.jpg, ['GT: Woman, Predicted: Man']
val/10033.jpg, ['GT: Woman, Predicted: Man']
val/10040.jpg, ['GT: Woman, Predicted: Man']
val/10042.jpg, ['GT: Woman, Predicted: Man']
val/10046.jpg, ['GT: Woman, Predicted: Man']
val/10050.jpg, ['GT: Woman, Predicted: Man']
val/10055.jpg, ['GT: Woman, Predicted: Man']
val/10056.jpg, ['GT: Woman, Predicted: Man']
val/10057.jpg, ['GT: Woman, Predicted: Man']
val/10058.jpg, ['GT: Woman, Predicted: Man']
val/10059.jpg, ['GT: Woman, Predicted: Man']
val/1006.jpg, ['GT: Woman, Predicted: Man']
val/10060.jpg, ['GT: Woman, Predicted: Man']
val/10061.jpg, ['GT: Woman, Predicted: Man']
val/10064.jpg, ['GT: Woman, Predicted: Man']
val/10065.jpg, ['GT: Woman, Predicted: Man']
val/10066.jpg, ['GT: Woman, Predicted: Man']
val/10070.jpg, ['GT: Woman, Predicted: Man']
val/10076.jpg, ['GT: Woman, Predicted: Man']
val/10077.jpg, ['GT: Woman, Predicted: Man']
val/10078.jpg, ['GT: Woman, Predicted: Man']
val/10079.jpg, ['GT: Woman, Predicted: Man']
val/10086.jpg, ['GT: Woman, Predicted: Man']
val/10089.jpg, ['GT: Woman, Predicted: Man']
val/10090.jpg, ['GT: Woman, Predicted: Man']
val/10091.jpg, ['GT: Woman, Predicted: Man']
val/10092.jpg, ['GT: Woman, Predicted: Man']
val/10094.jpg, ['GT: Woman, Predicted: Man']
val/10099.jpg, ['GT: Woman, Predicted: Man']
val/101.jpg, ['GT: Woman, Predicted: Man']
val/1010.jpg, ['GT: Woman, Predicted: Man']
val/10108.jpg, ['GT: Woman, Predicted: Man']
val/10109.jpg, ['GT: Woman, Predicted: Man']
val/10111.jpg, ['GT: Woman, Predicted: Man']
val/10114.jpg, ['GT: Woman, Predicted: Man']
val/10117.jpg, ['GT: Woman, Predicted: Man']
val/10118.jpg, ['GT: Woman, Predicted: Man']
val/10119.jpg, ['GT: Woman, Predicted: Man']
val/10121.jpg, ['GT: Woman, Predicted: Man']
val/10123.jpg, ['GT: Woman, Predicted: Man']
val/1013.jpg, ['GT: Woman, Predicted: Man']
val/10134.jpg, ['GT: Woman, Predicted: Man']
val/10137.jpg, ['GT: Woman, Predicted: Man']
val/10138.jpg, ['GT: Woman, Predicted: Man']
val/1014.jpg, ['GT: Woman, Predicted: Man']
val/10140.jpg, ['GT: Woman, Predicted: Man']
val/10142.jpg, ['GT: Woman, Predicted: Man']
val/10143.jpg, ['GT: Woman, Predicted: Man']
val/10146.jpg, ['GT: Woman, Predicted: Man']
val/10148.jpg, ['GT: Woman, Predicted: Man']
val/10150.jpg, ['GT: Woman, Predicted: Man']
val/10157.jpg, ['GT: Woman, Predicted: Man']
